Date,Price,Open,High,Low,Vol.,Change %
8/12/2022,18706.6,18533.7,18741.2,18464.5,6.14M,0.93%
8/15/2022,18914.1,18879.5,19086.9,18844.9,11.19M,1.11%
8/16/2022,18844.9,18879.5,18948.6,18775.7,9.71M,-0.37%
8/17/2022,19190.7,18879.5,19259.8,18879.5,21.26M,1.83%
8/18/2022,19121.5,19156.1,19259.8,19052.4,12.49M,-0.36%
8/19/2022,19086.9,19156.1,19156.1,19017.8,12.59M,-0.18%
8/22/2022,19169.9,19335.9,19460.4,19087,12.23M,0.43%
8/23/2022,19252.9,18921,19294.4,18921,6.47M,0.43%
8/24/2022,19335.9,19294.4,19418.9,19211.4,8.34M,0.43%
8/25/2022,19626.4,19418.9,19626.4,19294.4,13.23M,1.50%
8/26/2022,19584.9,19709.4,19833.8,19584.9,11.54M,-0.21%
8/29/2022,19418.9,19128.4,19501.9,19004,13.76M,-0.85%
8/30/2022,19626.4,19543.4,19833.8,19460.4,10.63M,1.07%
8/31/2022,19709.4,19626.4,19875.3,19543.4,7.96M,0.42%
9/5/2022,19584.9,19667.9,19833.8,19543.4,7.34M,-0.63%
9/6/2022,19626.4,19584.9,19833.8,19543.4,7.92M,0.21%
9/7/2022,19087,19667.9,19750.8,19087,20.02M,-2.75%
9/8/2022,18921,19169.9,19294.4,18879.5,9.15M,-0.87%
9/9/2022,18838,19045.5,19045.5,18464.6,9.95M,-0.44%
9/12/2022,18755,19087,19087,18755,3.47M,-0.44%
9/13/2022,18713.5,18796.5,18879.5,18672,5.94M,-0.22%
9/14/2022,18589,18298.6,18630.5,18257.1,7.85M,-0.67%
9/15/2022,18381.6,18630.5,18713.5,18298.6,4.13M,-1.12%
9/16/2022,18091.1,18464.6,18547.5,18049.6,8.07M,-1.58%
9/19/2022,17427.2,18008.1,18091.1,17427.2,9.56M,-3.67%
9/20/2022,17717.7,17717.7,17717.7,17385.7,5.94M,1.67%
9/21/2022,17593.2,17593.2,17593.2,17385.7,4.63M,-0.70%
9/22/2022,17634.7,17427.2,17634.7,17302.7,6.13M,0.24%
9/23/2022,17427.2,17593.2,17717.7,17427.2,4.28M,-1.18%
9/26/2022,16680.3,17095.3,17344.2,16514.4,11.71M,-4.29%
9/27/2022,16763.3,16887.8,16887.8,16597.3,4.57M,0.50%
9/28/2022,16555.9,16597.3,16804.8,16555.9,4.03M,-1.24%
9/29/2022,16431.4,16763.3,16804.8,16431.4,4.96M,-0.75%
9/30/2022,16597.3,16348.4,16597.3,16016.4,8.66M,1.01%
10/3/2022,15518.5,16514.4,16514.4,15435.5,10.43M,-6.50%
10/4/2022,15601.5,15933.5,15933.5,15352.5,9.65M,0.53%
10/5/2022,15933.5,15850.5,16140.9,15809,5.78M,2.13%
10/6/2022,15020.6,15892,15892,14979.1,8.65M,-5.73%
10/7/2022,14066.3,14564.2,14771.6,13983.3,47.34M,-6.35%
10/10/2022,14315.2,14066.3,14439.7,13734.3,13.07M,1.77%
10/11/2022,13319.4,14356.7,14356.7,13319.4,22.31M,-6.96%
10/12/2022,14232.2,13402.4,14232.2,13402.4,14.13M,6.85%
10/13/2022,14439.7,14232.2,14564.2,14107.7,7.83M,1.46%
10/14/2022,14771.6,14854.6,15186.6,14605.7,13.97M,2.30%
10/17/2022,14522.7,14688.7,14771.6,14190.7,11.22M,-1.68%
10/18/2022,14564.2,14896.1,15103.6,14481.2,10.99M,0.29%
10/19/2022,14522.7,14688.7,14771.6,14315.2,6.43M,-0.28%
10/20/2022,14232.2,14481.2,14522.7,14232.2,7.80M,-2.00%
10/21/2022,13360.9,14315.2,14315.2,13360.9,15.80M,-6.12%
10/24/2022,12945.9,13526.8,13651.3,12821.5,20.03M,-3.11%
10/25/2022,13609.8,13070.4,13817.3,12862.9,18.44M,5.13%
10/26/2022,13609.8,13609.8,13941.8,13485.3,8.35M,0.00%
10/27/2022,14522.7,13692.8,14522.7,13692.8,15.06M,6.71%
10/28/2022,14647.2,14771.6,15062.1,14439.7,16.04M,0.86%
10/31/2022,14688.7,14688.7,14854.6,14107.7,14.03M,0.28%
11/1/2022,14937.6,14937.6,15269.6,14813.1,23.98M,1.69%
11/2/2022,14854.6,14937.6,15103.6,14771.6,11.74M,-0.56%
11/3/2022,14647.2,14647.2,14937.6,14605.7,10.24M,-1.40%
11/4/2022,14854.6,14398.2,14854.6,13692.8,28.73M,1.42%
11/7/2022,14066.3,14605.7,14730.1,14066.3,13.32M,-5.31%
11/8/2022,14273.7,13900.3,14481.2,13775.8,10.03M,1.47%
11/9/2022,14066.3,14356.7,14564.2,14024.8,9.70M,-1.45%
11/10/2022,13111.9,13983.3,14024.8,13111.9,23.04M,-6.79%
11/11/2022,13277.9,13485.3,13858.8,13236.4,13.77M,1.27%
11/14/2022,12614,13236.4,13236.4,12531,13.83M,-5.00%
11/15/2022,11742.6,12448,12614,11742.6,27.00M,-6.91%
11/16/2022,12531,11161.7,12531,10954.3,30.00M,6.71%
11/17/2022,13028.9,12738.5,13194.9,12531,17.05M,3.97%
11/18/2022,13028.9,12862.9,13443.9,12448,14.83M,0.00%
11/21/2022,13028.9,13194.9,13360.9,12945.9,12.34M,0.00%
11/22/2022,13111.9,13028.9,13651.3,12945.9,15.40M,0.64%
11/23/2022,13028.9,13111.9,13360.9,13028.9,8.48M,-0.63%
11/24/2022,13028.9,12987.4,13153.4,12780,7.30M,0.00%
11/25/2022,13443.9,13111.9,13443.9,13070.4,11.33M,3.19%
11/28/2022,14273.7,13651.3,14273.7,13609.8,17.77M,6.17%
11/29/2022,14273.7,14273.7,14481.2,13941.8,17.40M,0.00%
11/30/2022,14439.7,14356.7,14564.2,14066.3,15.17M,1.16%
12/1/2022,14771.6,14688.7,15269.6,14481.2,31.83M,2.30%
12/2/2022,15601.5,14771.6,15601.5,14564.2,18.78M,5.62%
12/5/2022,15767.5,15767.5,16016.4,15560,22.92M,1.06%
12/6/2022,14688.7,15767.5,15809,14688.7,25.39M,-6.84%
12/7/2022,14356.7,14647.2,14854.6,14315.2,13.98M,-2.26%
12/8/2022,15020.6,14688.7,15352.5,14564.2,15.89M,4.62%
12/9/2022,15103.6,15103.6,15186.6,14730.1,10.84M,0.55%
12/12/2022,14688.7,15103.6,15269.6,14647.2,14.34M,-2.75%
12/13/2022,14937.6,14730.1,14937.6,14522.7,9.16M,1.69%
12/14/2022,15062.1,15228.1,15269.6,14937.6,12.00M,0.83%
12/15/2022,15726,14937.6,15933.5,14937.6,27.79M,4.41%
12/16/2022,15601.5,15518.5,15850.5,15518.5,13.42M,-0.79%
12/19/2022,15228.1,15601.5,15974.9,15228.1,16.53M,-2.39%
12/20/2022,14605.7,15186.6,15311.1,14439.7,20.93M,-4.09%
12/21/2022,14688.7,14813.1,14854.6,14190.7,9.94M,0.57%
12/22/2022,14937.6,14854.6,15186.6,14688.7,8.86M,1.69%
12/23/2022,14730.1,14896.1,14896.1,14605.7,5.18M,-1.39%
12/26/2022,13941.8,14688.7,14730.1,13941.8,10.84M,-5.35%
12/27/2022,14315.2,13983.3,14356.7,13900.3,6.47M,2.68%
12/28/2022,14481.2,14356.7,14605.7,14149.2,5.30M,1.16%
12/29/2022,14439.7,14356.7,14605.7,14356.7,4.81M,-0.29%
12/30/2022,14190.7,14564.2,14564.2,14190.7,4.75M,-1.72%
1/3/2023,14937.6,14273.7,14937.6,14273.7,8.67M,5.26%
1/4/2023,14896.1,15020.6,15145.1,14896.1,8.91M,-0.28%
1/5/2023,15103.6,14937.6,15145.1,14771.6,8.91M,1.39%
1/6/2023,15145.1,14979.1,15560,14937.6,12.55M,0.27%
1/9/2023,15145.1,15352.5,15352.5,15103.6,6.84M,0.00%
1/10/2023,15103.6,15103.6,15228.1,15020.6,7.36M,-0.27%
1/11/2023,15145.1,15145.1,15311.1,15103.6,7.44M,0.27%
1/12/2023,15145.1,15186.6,15269.6,15062.1,8.43M,0.00%
1/13/2023,15145.1,15269.6,15394,15145.1,9.20M,0.00%
1/16/2023,15352.5,15186.6,15394,15103.6,7.18M,1.37%
1/17/2023,16099.4,15518.5,16099.4,15435.5,21.73M,4.87%
1/18/2023,16223.9,16182.4,16223.9,15933.5,11.40M,0.77%
1/19/2023,16265.4,16182.4,16389.9,16099.4,12.72M,0.26%
1/27/2023,16348.4,16514.4,16680.3,16306.9,10.58M,0.51%
1/30/2023,15974.9,16431.4,16431.4,15974.9,14.56M,-2.28%
1/31/2023,16223.9,15933.5,16223.9,15560,17.21M,1.56%
2/1/2023,15684.5,16348.4,16555.9,15684.5,18.10M,-3.32%
2/2/2023,15726,15850.5,15850.5,15394,14.04M,0.26%
2/3/2023,15435.5,15726,15850.5,15435.5,11.53M,-1.85%
2/6/2023,15518.5,15435.5,15684.5,15352.5,7.63M,0.54%
2/7/2023,15228.1,15643,15643,15228.1,8.83M,-1.87%
2/8/2023,15269.6,15352.5,15518.5,15145.1,6.43M,0.27%
2/9/2023,15311.1,15269.6,15518.5,15228.1,7.28M,0.27%
2/10/2023,15186.6,15394,15435.5,15186.6,6.89M,-0.81%
2/13/2023,14937.6,15103.6,15103.6,14730.1,11.35M,-1.64%
2/14/2023,14813.1,14937.6,15062.1,14771.6,7.59M,-0.83%
2/15/2023,14937.6,14730.1,15145.1,14730.1,7.50M,0.84%
2/16/2023,15145.1,15020.6,15228.1,14979.1,5.45M,1.39%
2/17/2023,15020.6,15145.1,15269.6,15020.6,5.51M,-0.82%
2/20/2023,15684.5,15020.6,15684.5,15020.6,9.89M,4.42%
2/21/2023,15435.5,15767.5,15850.5,15435.5,7.99M,-1.59%
2/22/2023,15145.1,15269.6,15352.5,15145.1,11.36M,-1.88%
2/23/2023,15062.1,14937.6,15103.6,14688.7,18.78M,-0.55%
2/24/2023,14688.7,15062.1,15145.1,14688.7,11.58M,-2.48%
2/27/2023,14315.2,14481.2,14522.7,14315.2,9.25M,-2.54%
2/28/2023,14315.2,14398.2,14647.2,14232.2,7.09M,0.00%
3/1/2023,14647.2,14232.2,14647.2,14107.7,7.27M,2.32%
3/2/2023,14439.7,14647.2,14688.7,14398.2,4.41M,-1.42%
3/3/2023,14232.2,14522.7,14522.7,14232.2,5.45M,-1.44%
3/6/2023,14356.7,14439.7,14688.7,14356.7,7.86M,0.87%
3/7/2023,14439.7,14439.7,14605.7,14398.2,7.10M,0.58%
3/8/2023,14605.7,14356.7,14605.7,14273.7,8.52M,1.15%
3/9/2023,14771.6,14647.2,14896.1,14605.7,9.27M,1.14%
3/10/2023,14730.1,14771.6,14771.6,14605.7,6.09M,-0.28%
3/13/2023,14522.7,14398.2,14605.7,14398.2,9.81M,-1.41%
3/14/2023,14273.7,14522.7,14564.2,14273.7,9.74M,-1.71%
3/15/2023,14771.6,14605.7,14813.1,14522.7,7.22M,3.49%
3/16/2023,14481.2,14688.7,14688.7,14439.7,6.62M,-1.97%
3/17/2023,14481.2,14688.7,14688.7,14481.2,4.91M,0.00%
3/20/2023,14356.7,14605.7,14605.7,14356.7,6.89M,-0.86%
3/21/2023,14398.2,14481.2,14522.7,14273.7,9.25M,0.29%
3/22/2023,14439.7,14522.7,14564.2,14398.2,6.08M,0.29%
3/23/2023,14439.7,14356.7,14481.2,14356.7,4.35M,0.00%
3/24/2023,14730.1,14688.7,14896.1,14605.7,18.75M,2.01%
3/27/2023,14896.1,14771.6,14937.6,14688.7,9.24M,1.13%
3/28/2023,14937.6,14979.1,15186.6,14937.6,14.24M,0.28%
3/29/2023,15186.6,15062.1,15269.6,15020.6,12.01M,1.67%
3/30/2023,15145.1,15269.6,15352.5,15145.1,10.33M,-0.27%
3/31/2023,15145.1,15186.6,15269.6,15062.1,12.12M,0.00%
4/3/2023,15518.5,15352.5,15518.5,15269.6,23.49M,2.47%
4/4/2023,15560,15560,15601.5,15435.5,13.01M,0.27%
4/5/2023,15601.5,15560,15643,15435.5,11.37M,0.27%
4/6/2023,15352.5,15643,15684.5,15352.5,13.84M,-1.60%
4/7/2023,15435.5,15352.5,15435.5,15228.1,9.83M,0.54%
