Date,Price,Open,High,Low,Vol.,Change %
12/21/2020,76567,76567,76645,75329,889.41K,0.82%
12/22/2020,75793,75871,75948,75484,955.52K,-1.01%
12/23/2020,75484,75484,76258,75019,850.31K,-0.41%
12/24/2020,75329,75793,75793,74322,1.04M,-0.21%
12/25/2020,75561,75096,75561,74864,401.89K,0.31%
12/28/2020,75871,75871,76025,75329,1.07M,0.41%
12/29/2020,76800,75871,77264,75716,888.75K,1.22%
12/30/2020,75793,76800,77109,75484,650.13K,-1.31%
12/31/2020,75793,75793,76645,75096,468.47K,0.00%
1/4/2021,76645,75871,77264,75329,1.09M,1.12%
1/5/2021,76877,76645,77884,76645,943.22K,0.30%
1/6/2021,81290,77032,82219,76877,2.65M,5.74%
1/7/2021,82838,80516,84000,80516,1.13M,1.90%
1/8/2021,81135,83613,83613,80903,1.23M,-2.06%
1/11/2021,80903,80980,81832,80593,1.08M,-0.29%
1/12/2021,81755,81755,81755,80671,810.13K,1.05%
1/13/2021,81135,81755,82142,80516,1.36M,-0.76%
1/14/2021,80438,81290,81445,79974,1.06M,-0.86%
1/15/2021,79896,81135,81213,79355,1.40M,-0.67%
1/18/2021,79974,80129,81290,79742,1.35M,0.10%
1/19/2021,76645,79819,79974,74400,1.44M,-4.16%
1/20/2021,76722,76645,81987,75871,2.67M,0.10%
1/21/2021,79742,76722,79742,75871,1.64M,3.94%
1/22/2021,79742,79742,80516,78967,1.62M,0.00%
1/25/2021,79355,78271,79742,78271,926.25K,-0.49%
1/26/2021,78116,79355,79355,76645,1.24M,-1.56%
1/27/2021,75406,76722,77419,72696,2.00M,-3.47%
1/28/2021,70142,71226,72232,70142,1.54M,-6.98%
1/29/2021,72000,66193,75019,66193,1.73M,2.65%
2/1/2021,70529,74322,74322,70451,1.67M,-2.04%
2/2/2021,74709,71226,74864,71226,1.36M,5.93%
2/3/2021,76567,75793,76645,74787,1.86M,2.49%
2/4/2021,76567,76567,76645,72696,1.23M,0.00%
2/5/2021,77419,76567,77419,75793,1.15M,1.11%
2/8/2021,72851,76645,77264,72077,3.70M,-5.90%
2/9/2021,75251,75096,75406,72077,3.80M,3.29%
2/17/2021,77419,75484,77419,75484,1.35M,2.88%
2/18/2021,78967,76645,78967,75871,2.16M,2.00%
2/19/2021,78425,76800,78735,76722,2.36M,-0.69%
2/22/2021,77884,77806,78967,77651,1.77M,-0.69%
2/23/2021,77419,77419,78193,76800,1.84M,-0.60%
2/24/2021,75948,77806,78193,74709,1.61M,-1.90%
2/25/2021,76025,76645,77032,75561,1.14M,0.10%
2/26/2021,76025,75329,76645,75096,1.37M,0.00%
3/1/2021,76800,76025,76877,76025,1.16M,1.02%
3/2/2021,76877,77419,78813,75871,1.52M,0.10%
3/3/2021,76180,76103,76955,76025,1.17M,-0.91%
3/4/2021,75329,76335,77032,72077,1.43M,-1.12%
3/5/2021,74632,75174,75251,73548,2.12M,-0.93%
3/8/2021,73703,75096,75096,73548,1.92M,-1.24%
3/9/2021,73548,73548,73548,72077,1.72M,-0.21%
3/10/2021,73935,73548,74167,72774,1.36M,0.53%
3/11/2021,74555,74167,74942,74167,1.29M,0.84%
3/12/2021,74167,74555,74709,73161,1.61M,-0.52%
3/15/2021,74555,74322,75096,73935,1.84M,0.52%
3/16/2021,74090,74322,74322,73626,836.80K,-0.62%
3/17/2021,74013,73935,74167,73548,1.58M,-0.10%
3/18/2021,75484,74477,75484,73935,2.05M,1.99%
3/19/2021,72929,75174,75174,72929,2.04M,-3.38%
3/22/2021,75096,74322,75484,73858,2.43M,2.97%
3/23/2021,74167,75019,75019,73858,1.20M,-1.24%
3/24/2021,73316,73548,74245,72851,1.82M,-1.15%
3/25/2021,73626,73316,74322,73161,1.48M,0.42%
3/26/2021,73471,73548,73935,72542,1.53M,-0.21%
3/29/2021,73780,73703,74167,72387,1.53M,0.42%
3/30/2021,73393,73780,73780,72851,2.23M,-0.52%
3/31/2021,73393,73161,73626,72851,1.21M,0.00%
4/1/2021,75019,73703,75638,73703,3.44M,2.22%
4/2/2021,75716,75484,76258,75019,2.91M,0.93%
