Date,Price,Open,High,Low,Vol.,Change %
10/16/2019,"31,493.90","31,685.20","31,876.50","31,493.90",817.67K,-0.60%
10/17/2019,"31,226.00","31,646.90","31,646.90","31,226.00",1.01M,-0.85%
10/18/2019,"30,690.30","31,226.00","31,226.00","30,613.70",1.54M,-1.72%
10/21/2019,"30,078.00","30,384.10","30,613.70","30,078.00",1.61M,-2.00%
10/22/2019,"30,613.70","30,078.00","30,613.70","30,078.00",712.05K,1.78%
10/23/2019,"30,690.30","30,613.70","30,843.30","30,498.90",573.21K,0.25%
10/24/2019,"30,843.30","30,690.30","30,996.40","30,422.40",645.41K,0.50%
10/25/2019,"30,766.80","30,613.70","31,034.70","30,460.70",1.22M,-0.25%
10/28/2019,"31,072.90","31,455.60","31,532.10","31,072.90",1.01M,0.99%
10/29/2019,"31,072.90","31,302.50","31,302.50","30,613.70",1.16M,0.00%
10/30/2019,"30,766.80","30,996.40","31,226.00","30,728.50",956.37K,-0.99%
10/31/2019,"31,072.90","30,766.80","31,149.50","30,652.00",978.09K,0.99%
11/1/2019,"31,379.10","30,996.40","31,455.60","30,843.30",1.48M,0.99%
11/4/2019,"32,297.50","31,455.60","32,488.80","31,455.60",2.19M,2.93%
11/5/2019,"32,527.10","32,374.00","32,527.10","32,259.20",1.13M,0.71%
11/6/2019,"32,297.50","32,412.30","32,680.20","32,297.50",1.03M,-0.71%
11/7/2019,"32,375.30","32,141.80","32,531.00","31,752.70",1.39M,0.24%
11/8/2019,"32,141.80","32,531.00","32,686.60","32,064.00",917.97K,-0.72%
11/11/2019,"32,141.80","32,102.90","32,608.80","31,986.20",911.14K,0.00%
11/12/2019,"32,764.40","32,219.70","32,842.30","32,141.80",1.89M,1.94%
11/13/2019,"33,387.10","32,842.30","33,387.10","32,842.30",2.27M,1.90%
11/14/2019,"33,075.70","33,464.90","33,464.90","32,764.40",1.02M,-0.93%
11/15/2019,"32,686.60","33,192.50","33,231.40","32,686.60",789.40K,-1.18%
11/18/2019,"32,141.80","32,531.00","32,842.30","32,102.90",1.21M,-1.67%
11/19/2019,"32,414.20","32,141.80","32,453.10","31,986.20",850.26K,0.85%
11/20/2019,"32,336.40","32,608.80","32,608.80","32,102.90",310.05K,-0.24%
11/21/2019,"32,064.00","32,297.50","32,453.10","32,025.10",769.32K,-0.84%
11/22/2019,"31,285.80","32,297.50","32,297.50","30,974.50",1.31M,-2.43%
11/25/2019,"30,896.60","31,285.80","31,597.10","30,741.00",1.03M,-1.24%
11/26/2019,"31,130.10","31,363.60","31,558.20","30,974.50",511.31K,0.76%
11/27/2019,"31,752.70","31,207.90","32,219.70","31,207.90",1.33M,2.00%
11/28/2019,"31,636.00","31,908.40","31,908.40","31,480.30",498.40K,-0.37%
11/29/2019,"31,519.20","31,519.20","31,830.50","31,519.20",492.54K,-0.37%
12/2/2019,"30,663.20","31,363.60","31,363.60","30,663.20",882.97K,-2.72%
12/3/2019,"30,896.60","30,663.20","31,169.00","30,351.90",989.60K,0.76%
12/4/2019,"31,402.50","30,896.60","31,558.20","30,818.80",443.10K,1.64%
12/5/2019,"31,130.10","31,558.20","31,597.10","30,857.70",495.08K,-0.87%
12/6/2019,"30,857.70","30,896.60","31,285.80","30,779.90",471.55K,-0.88%
12/9/2019,"31,130.10","31,130.10","31,130.10","30,857.70",450.97K,0.88%
12/10/2019,"31,052.30","31,130.10","31,402.50","30,935.60",522.78K,-0.25%
12/11/2019,"31,207.90","31,052.30","31,207.90","30,974.50",352.32K,0.50%
12/12/2019,"31,908.40","31,597.10","31,908.40","31,285.80",910.69K,2.24%
12/13/2019,"32,608.80","31,908.40","32,647.70","31,908.40",1.79M,2.20%
12/16/2019,"32,608.80","32,842.30","32,881.20","32,297.50",1.06M,0.00%
12/17/2019,"32,258.60","32,531.00","32,608.80","32,141.80",730.07K,-1.07%
12/18/2019,"32,686.60","31,986.20","33,114.70","31,986.20",1.86M,1.33%
12/19/2019,"32,842.30","32,764.40","33,036.80","32,219.70",883.60K,0.48%
12/20/2019,"33,270.30","32,686.60","33,309.20","32,686.60",896.66K,1.30%
12/23/2019,"34,826.80","33,270.30","34,982.50","33,270.30",3.07M,4.68%
12/24/2019,"34,943.60","34,671.20","35,138.10","34,476.60",932.61K,0.34%
12/25/2019,"35,177.00","34,321.00","35,215.90","34,321.00",736.32K,0.67%
12/26/2019,"34,398.80","35,060.30","35,293.80","34,398.80",661.35K,-2.21%
12/27/2019,"35,955.30","34,398.80","35,955.30","34,243.10",1.38M,4.52%
12/30/2019,"35,877.50","36,033.10","36,694.60","35,799.60",1.10M,-0.22%
12/31/2019,"35,916.40","35,955.30","36,188.80","35,721.80",792.87K,0.11%
1/2/2020,"36,500.10","35,799.60","36,733.50","35,721.80",1.10M,1.63%
1/3/2020,"36,344.40","36,850.30","36,967.00","36,344.40",759.58K,-0.43%
1/6/2020,"35,644.00","36,344.40","36,344.40","35,644.00",999.23K,-1.93%
1/7/2020,"36,344.40","35,644.00","36,344.40","35,177.00",662.67K,1.96%
1/8/2020,"36,655.70","35,799.60","37,278.30","35,644.00",1.55M,0.86%
1/9/2020,"38,640.30","37,161.60","38,834.80","37,044.80",1.98M,5.41%
1/10/2020,"39,924.40","38,640.30","40,469.20","38,601.30",1.89M,3.32%
1/13/2020,"38,990.50","38,834.80","40,080.00","38,523.50",685.12K,-2.34%
1/14/2020,"38,990.50","38,990.50","40,080.00","38,834.80",946.04K,0.00%
1/15/2020,"39,690.90","38,834.80","39,924.40","38,834.80",874.47K,1.80%
1/16/2020,"42,025.70","39,690.90","42,103.50","39,690.90",1.26M,5.88%
